movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Kazaam,male,1,17-Jul-96,Comedy,PG,"$18,880,508 ","$36,009,655.00"
Jack,male,1,9-Aug-96,Drama,PG-13,"$58,617,334 ","$111,792,852.00"
First Kid,male,1,30-Aug-96,Comedy,PG,"$26,465,920 ","$50,465,108.00"
The Rich Man's Wife,female,2,13-Sep-96,Thriller/Suspense,R,"$8,538,318 ","$16,284,619.00"
D3: The Mighty Ducks,male,1,4-Oct-96,Comedy,PG,"$22,936,273 ","$43,713,554.00"
The Associate,male,1,25-Oct-96,Comedy,PG-13,"$12,772,657 ","$24,333,094.00"
Ransom,female,2,8-Nov-96,Action,R,"$136,492,681 ","$259,807,820.00"
The War at Home,male,1,20-Nov-96,,R,"$34,368 ","$65,543.00"
101 Dalmatians,male,1,27-Nov-96,Comedy,G,"$136,189,294 ","$258,728,898.00"
The Preacher's Wife,female,2,13-Dec-96,Drama,PG,"$48,102,795 ","$91,076,877.00"
Evita,female,2,25-Dec-96,Musical,PG,"$50,047,179 ","$92,077,628.00"
Metro,male,1,17-Jan-97,Action,R,"$32,017,895 ","$58,804,106.00"
Prefontaine,male,1,24-Jan-97,Drama,PG-13,"$590,817 ","$1,085,093.00"
Shadow Conspiracy,male,1,31-Jan-97,Thriller/Suspense,R,"$2,154,540 ","$3,957,025.00"
That Darn Cat,female,2,14-Feb-97,Comedy,PG,"$18,301,828 ","$33,613,158.00"
Jungle 2 Jungle,male,1,7-Mar-97,Comedy,PG,"$59,925,026 ","$110,058,379.00"
The Sixth Man,male,1,28-Mar-97,Comedy,PG-13,"$14,765,099 ","$27,117,599.00"
Grosse Pointe Blank,male,1,11-Apr-97,Black Comedy,R,"$28,084,357 ","$51,579,764.00"
Romy and Michele's High School Reunion,female,2,25-Apr-97,Comedy,R,"$29,235,353 ","$53,693,680.00"
Gone Fishin',male,1,30-May-97,Comedy,PG,"$19,745,922 ","$36,265,379.00"
Con Air,female,2,6-Jun-97,Action,R,"$101,117,573 ","$185,712,664.00"
Hercules,male,1,13-Jun-97,Adventure,G,"$99,112,101 ","$182,029,412.00"
George Of The Jungle,male,1,16-Jul-97,Comedy,PG,"$105,263,257 ","$193,326,632.00"
Nothing To Lose,male,1,18-Jul-97,Comedy,R,"$44,480,039 ","$81,692,095.00"
Air Bud,male,1,1-Aug-97,Comedy,PG,"$24,646,936 ","$45,266,588.00"
G.I. Jane,female,2,22-Aug-97,Drama,R,"$48,169,156 ","$88,467,531.00"
A Thousand Acres,female,2,19-Sep-97,Drama,R,"$7,928,412 ","$14,561,324.00"
Washington Square,female,2,5-Oct-97,Drama,PG,"$1,775,644 ","$3,257,546.00"
Rocket Man,male,1,10-Oct-97,Comedy,PG,"$15,448,043 ","$28,371,890.00"
Playing God,male,1,17-Oct-97,Thriller/Suspense,R,"$4,166,918 ","$7,652,965.00"
Flubber,male,1,26-Nov-97,Comedy,PG,"$92,993,801 ","$170,406,423.00"
An American Werewolf in Paris,male,1,25-Dec-97,Horror,R,"$26,570,463 ","$48,546,161.00"
Mr. Magoo,male,1,25-Dec-97,Comedy,PG,"$21,437,192 ","$39,145,784.00"
Kundun,male,1,25-Dec-97,Drama,PG-13,"$5,686,694 ","$10,236,836.00"
Deep Rising,male,1,30-Jan-98,Action,R,"$11,203,026 ","$20,136,775.00"
Krippendorf's Tribe,female,2,27-Feb-98,Comedy,PG-13,"$7,571,115 ","$13,608,633.00"
An Alan Smithee Film: Burn Hollywood …,male,1,27-Feb-98,Comedy,R,"$45,779 ","$82,277.00"
Meet the Deedles,male,1,27-Mar-98,Comedy,PG,"$4,356,126 ","$7,829,877.00"
He Got Game,male,1,1-May-98,Drama,R,"$21,567,853 ","$38,766,948.00"
The Horse Whisperer,female,2,15-May-98,Drama,PG-13,"$75,383,563 ","$135,497,531.00"
"Six Days, Seven Nights",female,2,12-Jun-98,Romantic Comedy,PG-13,"$74,339,294 ","$133,620,516.00"
Mulan,female,2,19-Jun-98,Adventure,G,"$120,620,254 ","$216,807,832.00"
